X,Y,OBJECTID,source,ext_id,cat1,cat2,cat3,org_name,Name,addrln1,addrln2,city,state,hours,phones,email,url,info1,info2,post_id,description,zip,link,use_type,latitude,longitude,date_updated,dis_status,POINT_X,POINT_Y
6503030.09486911,1738033.82768703,72713,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Downtown Long Beach Station,,,,,,,,,,,3306127,Blue Line,,,publish,33.76807583,-118.19293316,2023/04/04 16:19:54+00,,33.76807583,-118.19293316
6502796.26167536,1739558.05003227,72714,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Pacific Ave Station,,,,,,,,,,,3306128,Blue Line,,,publish,33.77226283,-118.19371216,2023/04/04 16:19:54+00,,33.77226283,-118.19371216
6504114.56645344,1743039.06734844,72715,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Anaheim Street Station,,,,,,,,,,,3306129,Blue Line,,,publish,33.78183483,-118.18939616,2023/04/04 16:19:54+00,,33.78183483,-118.18939616
6504120.15240027,1745681.17951827,72716,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Pacific Coast Hwy Station,,,,,,,,,,,3306130,Blue Line,,,publish,33.78909483,-118.18939416,2023/04/04 16:19:54+00,,33.78909483,-118.18939416
6503995.16971061,1752228.1185241,72717,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Willow Street Station,,,,,,,,,,,3306131,Blue Line,,,publish,33.80708383,-118.18984616,2023/04/04 16:19:54+00,,33.80708383,-118.18984616
6502103.67907102,1756884.92646769,72718,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Wardlow Station,,,,,,,,,,,3306132,Blue Line,,,publish,33.81986983,-118.19610216,2023/04/04 16:19:54+00,,33.81986983,-118.19610216
6497591.2241852,1767213.9330406,72719,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Del Amo Station,,,,,,,,,,,3306133,Blue Line,,,publish,33.84822684,-118.21102917,2023/04/04 16:19:54+00,,33.84822684,-118.21102917
6494125.94240186,1777360.37436186,72720,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Artesia Station,,,,,,,,,,,3306134,Blue Line,,,publish,33.87608684,-118.22251517,2023/04/04 16:19:54+00,,33.87608684,-118.22251517
6493613.32662919,1785152.41553627,72721,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Compton Station,,,,,,,,,,,3306135,Blue Line,,,publish,33.89749484,-118.22426117,2023/04/04 16:19:54+00,,33.89749484,-118.22426117
6489601.61450827,1796282.41952294,72722,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Willowbrook - Rosa Parks Station,,,,,,,,,,,3306136,Blue Line,,,publish,33.92805284,-118.23756718,2023/04/04 16:19:54+00,,33.92805284,-118.23756718
6487914.0562036,1801443.97612894,72723,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,103rd Street / Watts Towers  Station,,,,,,,,,,,3306137,Blue Line,,,publish,33.94222484,-118.24317118,2023/04/04 16:19:54+00,,33.94222484,-118.24317118
6487915.41709328,1807772.95592502,72724,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Firestone Station,,,,,,,,,,,3306138,Blue Line,,,publish,33.95961585,-118.24321718,2023/04/04 16:19:54+00,,33.95961585,-118.24321718
6487907.84722653,1812914.83442077,72725,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Florence Station,,,,,,,,,,,3306139,Blue Line,,,publish,33.97374485,-118.24328318,2023/04/04 16:19:54+00,,33.97374485,-118.24328318
